date,portfolio_value,daily_profit,cumulative_profit,daily_return,cumulative_return
2025-06-17,95703.74913787842,0.0,-3937.4821586608887,0.0,-0.0395165947612857
2025-06-18,95582.51054000854,-121.23859786987305,-4058.7207565307617,-0.0012668113732431,-0.0407333460628534
2025-06-20,95488.8903656006,-93.62017440795898,-4152.340930938721,-0.0009794697155267,-0.0416729186994996
2025-06-23,95517.10932159424,28.218955993652344,-4124.121974945068,0.0002955208285027,-0.041389713086457
2025-06-24,97034.81929779051,1517.709976196289,-2606.4119987487798,0.0158894043902264,-0.0261579665850566
2025-06-25,96205.70765304564,-829.111644744873,-3435.5236434936523,-0.0085444755887101,-0.0344789360668305
2025-06-26,96932.53903198242,726.8313789367676,-2708.6922645568848,0.0075549714946019,-0.0271844519513777
2025-06-27,96333.82889556883,-598.7101364135742,-3307.402400970459,-0.0061765650873545,-0.0331931105018905
2025-06-30,97287.22901916504,0.0,-2354.002277374268,0.0,-0.023624781094571
2025-07-01,98719.84079360962,1432.61177444458,-921.3905029296876,0.0147255892565545,-0.0092470806606912
2025-07-02,99203.68982696532,483.8490333557129,-437.5414695739746,0.0049012339309508,-0.0043911688352366
2025-07-03,99641.2312965393,437.5414695739746,0.0,0.0044105362445403,0.0
2025-07-07,98549.15098190308,-1092.0803146362305,-1092.0803146362305,-0.0109601246434433,-0.0109601246434432
